method,agents,freq,makespan,swt,runtime_s,ms_gap%,swt_gap%,rt_gap%,source,compare_against
Hungarian+PBS-MLA*,40,0.5,1020,11575,16.0,-0.8%,-1.4%,+310.3%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,1,527,12372,5.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,1,527,12317,11.1,+0.0%,-0.4%,+117.6%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,2,339,21665,5.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,2,346,21980,4.3,+2.1%,+1.5%,-24.6%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,5,321,44065,7.8,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,5,323,43877,4.9,+0.6%,-0.4%,-37.2%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,10,315,51939,9.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,10,313,51623,6.1,-0.6%,-0.6%,-33.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,500,317,60952,12.3,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,40,500,322,59754,7.1,+1.6%,-2.0%,-42.3%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,0.2,2513,11338,2.4,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,0.2,2512,11028,34.9,-0.0%,-2.7%,+1356.2%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,0.5,1027,11690,7.7,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,0.5,1020,11302,34.2,-0.7%,-3.3%,+343.7%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,1,527,11860,17.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,1,527,11777,34.9,+0.0%,-0.7%,+104.3%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,2,295,15041,37.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,2,293,15562,11.1,-0.7%,+3.5%,-70.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,5,266,34363,59.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,5,275,34519,7.7,+3.4%,+0.5%,-87.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,10,269,42342,60.5,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,10,260,42236,8.9,-3.3%,-0.3%,-85.4%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,500,250,50491,53.3,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,50,500,259,50113,12.6,+3.6%,-0.7%,-76.4%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLSIPP,10,0.2,2511,13711,7.4,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,10,0.2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,10,0.5,1291,54414,34.8,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,10,0.5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,10,1,1207,125552,58.3,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,10,1,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,10,2,1192,167973,116.7,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,10,2,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,10,5,1171,197144,3317.5,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,10,5,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,10,10,1159,207586,3306.9,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,10,10,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,10,500,1155,216236,91.8,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,10,500,N/A,N/A,N/A,-,-,-,reimplementation,Hungarian+PBS-MLSIPP
Hungarian+PBS-MLSIPP,20,0.2,2513,12343,11.2,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,0.2,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,0.5,1031,13176,17.3,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,0.5,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,1,641,31145,200.9,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,1,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,2,620,65756,55.5,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,2,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,5,604,94768,75.0,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,5,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,10,616,105016,71.7,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,10,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,500,601,115565,56.2,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,20,500,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,0.2,2512,11816,12.5,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,0.2,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,0.5,1028,12193,18.9,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,0.5,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,1,533,13800,44.6,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,1,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,2,433,35811,138.3,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,2,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,5,421,60264,79.5,-,-,-,original,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,5,,,,,,,not_run,Hungarian+PBS-SIPP
Hungarian+PBS-MLSIPP,30,10,411,69856,71.2,-,-,-,original,Hungarian+PBS-SIPP
