method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
LNS(1s)+PBS-MLSIPP,50,0.5,-0.70,-2.30,-3.1,rt
LNS(1s)+PBS-MLSIPP,10,1,-0.80,-0.90,18.8,rt
LNS(1s)+PBS-MLSIPP,20,1,-0.20,-1.90,-34.5,rt
LNS(1s)+PBS-MLSIPP,30,1,0.90,2.50,-45.3,rt
LNS(1s)+PBS-MLSIPP,40,1,0.20,2.30,-46.5,rt
LNS(1s)+PBS-MLSIPP,50,1,0.20,0.10,-46.4,rt
LNS(1s)+PBS-MLSIPP,10,2,-0.20,-1.30,17.8,rt
LNS(1s)+PBS-MLSIPP,20,2,-1.60,-0.60,-38.9,rt
LNS(1s)+PBS-MLSIPP,30,2,1.90,2.90,-55.8,rt
LNS(1s)+PBS-MLSIPP,40,2,0.60,0.10,-66.0,rt
LNS(1s)+PBS-MLSIPP,50,2,-1.70,-1.00,-69.7,rt
LNS(1s)+PBS-MLSIPP,10,5,-0.70,-1.30,19.1,rt
LNS(1s)+PBS-MLSIPP,20,5,-2.00,0.00,-39.0,rt
LNS(1s)+PBS-MLSIPP,30,5,1.20,1.40,-56.3,rt
LNS(1s)+PBS-MLSIPP,40,5,0.30,0.90,-66.4,rt
LNS(1s)+PBS-MLSIPP,50,5,-1.80,-1.50,-73.0,rt
LNS(1s)+PBS-MLSIPP,10,10,-2.70,-0.80,16.1,rt
LNS(1s)+PBS-MLSIPP,20,10,1.30,1.10,-42.2,rt
LNS(1s)+PBS-MLSIPP,30,10,-0.50,0.70,-57.1,rt
LNS(1s)+PBS-MLSIPP,40,10,1.60,0.20,-66.1,rt
LNS(1s)+PBS-MLSIPP,50,10,3.90,-0.60,-73.5,ms+rt
LNS(1s)+PBS-MLSIPP,10,500,0.50,-1.50,5.1,rt
LNS(1s)+PBS-MLSIPP,20,500,-0.20,-0.60,-39.1,rt
LNS(1s)+PBS-MLSIPP,30,500,1.00,0.00,-61.4,rt
LNS(1s)+PBS-MLSIPP,40,500,-1.20,0.00,-68.2,rt
LNS(1s)+PBS-MLSIPP,50,500,-0.40,0.40,-74.7,rt
LNS(1s)+PP-SIPP,20,0.2,0.10,0.20,3.5,rt
LNS(1s)+PP-SIPP,30,0.2,0.20,-1.10,12.9,rt
LNS(1s)+PP-SIPP,40,0.2,0.10,-0.90,11.7,rt
LNS(1s)+PP-SIPP,50,0.2,0.10,-0.10,202.7,rt
LNS(1s)+PP-SIPP,10,0.5,-0.40,-3.10,26.1,swt+rt
LNS(1s)+PP-SIPP,20,0.5,0.00,1.60,-11.7,rt
LNS(1s)+PP-SIPP,30,0.5,-0.60,1.30,-10.3,rt
LNS(1s)+PP-SIPP,40,0.5,-0.70,0.90,-14.4,rt
LNS(1s)+PP-SIPP,50,0.5,-0.70,-1.20,-5.8,rt
LNS(1s)+PP-SIPP,10,1,-2.20,-1.90,19.0,rt
LNS(1s)+PP-SIPP,20,1,1.20,-2.70,-34.5,rt
LNS(1s)+PP-SIPP,30,1,0.40,3.60,-45.3,swt+rt
LNS(1s)+PP-SIPP,40,1,1.10,2.40,-46.5,rt
LNS(1s)+PP-SIPP,50,1,0.40,0.40,-46.2,rt
LNS(1s)+PP-SIPP,10,2,3.40,3.30,20.9,ms+swt+rt
LNS(1s)+PP-SIPP,20,2,-1.50,-1.70,-40.2,rt
LNS(1s)+PP-SIPP,30,2,0.90,0.30,-56.8,rt
LNS(1s)+PP-SIPP,40,2,-2.90,0.80,-66.8,rt
LNS(1s)+PP-SIPP,50,2,-1.00,-0.10,-69.9,rt
LNS(1s)+PP-SIPP,10,5,0.40,0.70,18.0,rt
LNS(1s)+PP-SIPP,20,5,0.20,0.80,-42.0,rt
LNS(1s)+PP-SIPP,30,5,2.20,0.80,-55.1,rt
LNS(1s)+PP-SIPP,40,5,0.30,0.00,-66.4,rt
LNS(1s)+PP-SIPP,50,5,-2.20,-0.90,-72.3,rt
LNS(1s)+PP-SIPP,10,10,-1.40,-0.50,21.3,rt
LNS(1s)+PP-SIPP,20,10,-1.00,0.20,-41.4,rt
LNS(1s)+PP-SIPP,30,10,-2.00,-1.20,-57.8,rt
LNS(1s)+PP-SIPP,40,10,2.20,-1.10,-66.0,rt
LNS(1s)+PP-SIPP,50,10,2.70,-0.10,-73.8,rt
LNS(1s)+PP-SIPP,10,500,0.20,0.50,19.0,rt
LNS(1s)+PP-SIPP,20,500,1.40,-0.40,-40.0,rt
LNS(1s)+PP-SIPP,30,500,2.50,-0.40,-60.6,rt
LNS(1s)+PP-SIPP,40,500,-2.80,0.10,-67.0,rt
LNS(1s)+PP-SIPP,50,500,1.60,0.50,-74.2,rt
LNS(1s)+wPBS-MLA*,10,0.2,0.10,1.00,159.7,rt
LNS(1s)+wPBS-MLA*,20,0.2,0.10,-1.90,7.3,rt
LNS(1s)+wPBS-MLA*,30,0.2,0.20,-4.60,10.7,swt+rt
LNS(1s)+wPBS-MLA*,40,0.2,0.20,-5.50,10.7,swt+rt
